general_assembly,bill,fiscal_year,kind,source,documents,fund_group,fund,line_item,title,amount
124,hb94,2000,actual,hb94-greenbook,1,,3L9,200621,Vocational Education Basic Grants,42836699.00
124,hb94,2000,actual,hb94-greenbook,1,,3M0,200623,ESEA Title I,281047582.00
124,hb94,2000,actual,hb94-greenbook,1,,3M1,200678,ESEA Innovative Education,45021139.00
124,hb94,2000,actual,hb94-greenbook,1,,3M2,200680,Individuals with Disabilities Education A,125688156.00
124,hb94,2000,actual,hb94-greenbook,1,,3N7,200627,School-To-Work,10869247.00
124,hb94,2000,actual,hb94-greenbook,1,,3P9,200686,SRRC/FRC Evaluation Project,0.00
124,hb94,2000,actual,hb94-greenbook,1,,3R3,200654,Goals 2000,22473365.00
124,hb94,2000,actual,hb94-greenbook,1,,3S2,200641,Tech Literacy Transfer,14633000.00
124,hb94,2000,actual,hb94-greenbook,1,,3S7,200673,Child Care School Age,97892.00
124,hb94,2000,actual,hb94-greenbook,1,,3T4,200613,Public Charter Schools,2295355.00
124,hb94,2000,actual,hb94-greenbook,1,,3T5,200625,Coordinated School Health,382516.00
124,hb94,2000,actual,hb94-greenbook,1,,3U2,200662,Teacher Quality Enhancement Grants,638186.00
124,hb94,2000,actual,hb94-greenbook,1,,3U3,200665,Reading Excellence Grant Program,2171491.00
124,hb94,2000,actual,hb94-greenbook,1,,3U6,200675,Provision 2 & 3 Grant,12187.00
124,hb94,2000,actual,hb94-greenbook,1,,452,200638,Miscellaneous Revenue,203480.00
124,hb94,2000,actual,hb94-greenbook,1,,454,200610,Guidance & Testing,580727.00
124,hb94,2000,actual,hb94-greenbook,1,,455,200608,Commodity Foods,7673075.00
124,hb94,2000,actual,hb94-greenbook,1,,4D1,200602,Ohio Prevention/Education Resource C,592440.00
124,hb94,2000,actual,hb94-greenbook,1,,4L2,200681,Teacher Certification and Licensure,3377937.00
124,hb94,2000,actual,hb94-greenbook,1,,4M4,200637,Emergency Services Telecommunicatio,161195.00
124,hb94,2000,actual,hb94-greenbook,1,,4N5,200639,Impact II,0.00
124,hb94,2000,actual,hb94-greenbook,1,,4R7,200695,Indirect Cost Recovery,2560515.00
124,hb94,2000,actual,hb94-greenbook,1,,4V7,200633,Interagency Vocational Support,642612.00
124,hb94,2000,actual,hb94-greenbook,1,,4Y5,200697,Supplemental School Assistance,0.00
124,hb94,2000,actual,hb94-greenbook,1,,596,200656,Ohio Career Information System,520759.00
124,hb94,2000,actual,hb94-greenbook,1,,598,200659,Auxiliary Services Mobile Unit,1396664.00
124,hb94,2000,actual,hb94-greenbook,1,,5B1,200651,Child Nutrition Services,11108.00
124,hb94,2000,actual,hb94-greenbook,1,,5F8,200645,Textbooks/Instructional Materials,0.00
124,hb94,2000,actual,hb94-greenbook,1,,5H3,200687,School District Solvency Assistance,8657000.00
124,hb94,2000,actual,hb94-greenbook,1,,620,200615,Educational Grants,1110019.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200100,Personal Services,11781860.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200200,Maintenance,384050.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200300,Equipment,74582.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200320,Maintenance and Equipment,4422558.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200406,Head Start,96818680.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200408,Public Preschool,19145553.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200410,Professional Development,30119793.00
