fiscal_year,irn,district,enrolled_adm,special_education_1,special_education_2,special_education_3,special_education_4,special_education_5,special_education_6,english_learner_1,english_learner_2,english_learner_3,gifted_k_8,gifted_9_12,career_technical_1,career_technical_2,career_technical_3,career_technical_4,career_technical_5,school_buildings
2027,043679,Bryan City,1630.908347,32.476229,224.028571,14.750544,0,12.5,33.634721,1,25.654869,1,131.589173,81.313509,3.623811,7.25574,0,4.509369,9.112037,2
2027,043687,Bucyrus City,980.26845,32.191861,97.105632,7.74,1,1.795321,36.226449,0,4.5,1,79.073225,25.381021,2.169963,0,0,0,0,3
2027,043695,Cambridge City,1706.76159,46.871695,241.115441,9.468538,0,14,42.539064,2.31579,12.86,1,45.777814,32.53226,5.656861,8.48435,0,3.240807,12.223922,4
2027,043703,Campbell City,960.069821,20.528089,118.475711,8.123596,1,3,16.903955,20.762916,90.724592,30.174157,26.3921,11.023466,0,0,17.187001,0,0,3
2027,043711,Canton City,6948.662422,76.821173,771.007974,59.886962,1.129213,41.28739,165.074344,69.402184,416.01487,42.348315,265.502621,122.890803,143.355523,117.081001,11.19549,19.020758,20.863072,16
2027,043729,Celina City,2291.916784,42.453038,274.850242,16.263339,2,19.726257,35.519139,24.625594,88.274664,13,167.634571,107.490954,30.135172,9.012831,18.277037,7.896803,11.622249,4
2027,043737,Centerville City,7609.187613,71.380681,536.704039,44.620714,3.732955,37.9946,152.583565,79.420464,312.0389,108.931818,1177.086912,741.596308,117.98853,35.247101,37.477389,28.397802,18.32821,12
2027,043745,Chillicothe City,2485.445763,44.379381,270.71287,17.59473,0,16.173288,72.687103,1.98876,16.299026,3.87,118.601407,70.709484,5.452061,9.099618,0,0,0.248781,4
2027,043752,Cincinnati Public Schools,30832.50718,330.359247,4218.757913,461.939868,26.431429,334.451762,780.461168,542.280199,3173.535436,445.165715,2456.828906,1522.268467,391.855599,145.418072,0,39.414389,0,62
2027,043760,Circleville City,1897.498671,34.034654,242.499591,4.465181,5.891089,11.563367,58.473796,0,7.964158,3,162.398789,83.215096,5.065634,4.910385,0,0,0,3
2027,043778,Claymont City,1356.225124,36.04007,151.994844,0,1,11,20.746218,0,1,1,73.677468,47.475112,29.601953,12.45187,0,0,0,5
2027,043786,Cleveland Municipal,30779.255259,216.742116,5334.564699,358.4164,31.839544,392.017186,1436.71988,662.876862,3567.982697,474.985689,935.175972,743.987065,275.256352,143.843926,0,652.689124,8.592073,93
2027,043794,Cleveland Heights-University Heights City,4487.049073,61.495297,573.330783,49.209178,2,36.940582,160.891727,14.893621,90.344557,14.159763,539.792368,265.201054,53.242533,33.370393,8.218062,0.666666,30.712402,10
2027,043802,Columbus City School District,43628.579476,528.638215,4468.031585,507.163901,36.172403,437.048091,1517.896024,1631.704702,8376.391181,1138.209225,2491.865021,1082.692927,500.551775,253.690399,0,417.189292,10.129134,114
2027,043810,Conneaut Area City,1464.718204,29.292398,190.562925,13.187836,2,5,32.57117,1,8.72,2,121.279776,68.50902,4.973716,0,0,0,6.515764,4
2027,043828,Coshocton City,1384.027256,52.427295,193.511601,5.503412,1,6.954802,43.866203,1,0,0,54.995502,66.34761,4.264388,0,5.845378,0,3.791886,2
2027,043836,Cuyahoga Falls City,3567.04079,34.814313,373.435968,26.712606,2.697305,19.126385,112.884248,42.519786,218.682658,76.248238,333.327929,180.030417,37.172548,41.464974,2.41122,45.584647,23.554878,9
2027,043844,Dayton City,12110.186893,176.434659,1279.999456,145.3484,21.141281,119.742165,338.575859,250.184521,2133.333578,204.135537,288.419835,122.667219,280.867131,101.273368,0,6.01426,0,26
2027,043851,Deer Park Community City,1036.00231,6,103.459143,13.254335,0,9,28,10,30.887077,4,102.426041,67.142012,1.380049,0,0.951305,0,0,2
2027,043869,Defiance City,2290.687423,50.737431,230.48826,6.659218,1,7.128492,55.144299,5,11,6,92.709532,56.74449,0,0,0,10.256983,27.016689,3
2027,043877,Delaware City,5245.730199,64.41,560.059692,20.991193,5,28.654545,151.796068,32.906249,167.913352,37.944318,636.928758,412.075942,0,0,0,0,0,7
2027,043885,Delphos City,825.192373,23.219106,57.221911,7.863533,0,4,11.165175,7.790285,19,5,43.64275,29.594281,24.271375,0,0,0,2.472076,3
2027,043893,Dover City,2452.207122,38.86663,198.280608,5,0,6,36.03,81.316521,368.194285,45.198618,112.283272,154.421551,17.596514,0,0,0,0,5
2027,043901,East Cleveland City School District,1058.2526,8,154.559295,10.176351,0,9,29.957744,7.050338,41.939711,2,12.644339,2.487086,15.97907,24.358268,0,0,0,5
2027,043919,East Liverpool City,1838.385286,54.28444,270.311277,13,1,7.213483,71.691011,0,8,2,61.736274,50.625008,35.057411,47.637979,0,10.678015,11.165462,5
2027,043927,East Palestine City,859.094299,24.096423,97.997025,9.219605,0,4.185569,17.715727,0,2,1,53.861446,27.931932,0,0,3.452889,0,0,3
2027,043935,Eaton Community City,1707.78605,79.743161,237.608614,5.398732,0,14.954802,44.356887,4.967493,4.954802,1.999999,101.643887,89.195292,0,0,5.969572,0,13.611763,4
2027,043943,Elyria City Schools,5343.500317,77.728323,615.134703,44.803694,2,33.1564,156.720632,21.821602,144.214961,23,203.638343,141.396227,0,0,0,0,0,9
2027,043950,Euclid City,3909.121874,44.779661,594.509934,48.259628,5,25.977401,185.230997,4.999999,28.525424,3,119.936715,54.40069,44.953705,41.021283,0.504524,17.740405,0,8
2027,043968,Fairborn City,3929.372991,112.670185,438.787258,26.543375,1.752662,34.321802,110.98721,26.11891,42.156621,34.104417,380.174555,136.446191,64.895497,0,15.927632,0,0,5
2027,043976,Fairview Park City,1336.696746,11.18232,131.917128,2.091111,0,14,39.120336,2.972067,45.3878,13.822869,209.056774,107.516391,0,0,0,0,0,3
2027,043984,Findlay City,4597.914532,89.110466,426.328912,29.112907,4,42.483953,123.848725,58.22093,197.738371,36.366279,406.812332,413.656105,77.268737,35.037247,0,16.779792,25.772777,10
2027,043992,Fostoria City,1553.947585,54.622954,190.369519,15.599496,1,14.84977,29.381612,2,43.22,8,77.567675,32.830279,0,0,0.675926,0,0,2
2027,044008,Franklin City,2407.632752,53.259797,369.605229,18.234179,5.5,11,86.14978,2.485747,42.397698,16,155.317984,123.880094,0,0,0,0,0,6
2027,044016,Fremont City,3033.748121,155.905612,265.650044,26.033658,1,24.035019,71.372047,4.179624,53.408518,5,220.772845,104.424913,4.467971,0,0,11.858519,0,6
2027,044024,Galion City,1434.253024,47.683749,135.654749,1.118644,0,19.82172,54.049071,0,1.020976,0,126.456769,52.251627,14.26449,0,2.952003,0.208012,0,4
2027,044032,Gallipolis City,1697.47093,11.161617,148.209683,7.102323,0.75,10.406566,35.969697,9.631314,8.979798,2.055556,103.287388,40.238465,2.757572,0,0,0,0,5
2027,044040,Garfield Heights City Schools,2133.288381,24.109827,241.135934,24.666911,0.914141,11.235077,50.931425,0,2.5,2.5,17.031958,25.029071,0,0,0,0,0,5
2027,044057,Geneva Area City,1871.20424,37.335935,217.33082,30.606453,0,4,46.056959,9.954023,33.288161,3,124.338248,59.065892,18.842337,0,25.633315,0,12.830308,5
2027,044065,Girard City School District,1444.481732,37.830444,152.665205,11.803342,2,19.933981,32.50919,1,14,2.124644,95.666837,63.268454,9.608026,0.06126,6.116584,5.698656,14.278226,4
2027,044073,Grandview Heights Schools,1145.986533,18,94.847925,7.088386,2.43,0,19.07504,0,4,9,277.551292,174.06532,0.999999,0.578314,0,0.555555,0,3
2027,044081,Winton Woods City,3977.849435,26.694843,367.007138,35.347645,2,25.977401,101.227692,142.314815,577.304632,141.467942,110.228223,71.175618,0,0,0,0,0,6
2027,044099,Greenville City,2165.94574,62.14186,162.405911,10.798634,2,22.875,58.244319,1.715909,22,2.772727,224.811008,141.744239,83.942572,28.1817,0,29.560144,15.264445,3
2027,044107,Hamilton City,8281.330937,269.447334,1060.096665,69.878247,6.726368,55.323384,213.634613,139.594107,982.609137,134.928906,359.351335,202.426754,0,0,0,0,0,12
2027,044115,Heath City,1546.616748,37.727618,211.813923,15.11513,0,8.88,25.275325,0,0,2,174.046237,118.358531,2.213451,7.617573,0,0,0,4
2027,044123,Hillsboro City,1969.222901,48.25143,170.199279,12.352289,0,11.877142,32.368748,4.114286,9.88,2,129.721973,111.668237,0,0,0,0,10.188961,5
2027,044131,Huron City Schools,1065.587886,9,69.353164,1,0,3,10.805084,1,4,1,130.710886,64.526555,8.107874,0,0,0,0,3
2027,044149,Ironton City School District,1153.208477,24.267327,78.603366,6.841808,1.62,15.09901,36.193069,1,4,1,69.703981,42.222323,0,0,0,0.111112,0,3
2027,044156,Jackson City,2119.966803,37.795454,215.718638,0.66733,0,19.296137,30.86,6.024773,7,0,280.692024,153.148564,28.384092,0,0,4.996414,0,5
2027,044164,Kent City,2719.277405,21.601396,393.043425,39.455993,3,25.841149,90.484888,39.344069,45.562406,23,230.310362,139.707921,68.540422,42.021097,0,400.628285,15.902955,6
2027,044172,Kenton City,1613.761608,33.113751,224.878027,11.04735,1,9.869821,62.678127,0,29.549489,4.4,57.819278,47.027987,0,14.288449,4.185036,0,0,3
2027,044180,Kettering City School District,7148.513352,139.650711,672.033936,71.954189,6,28.034303,189.722983,50.072042,229.755318,76.050177,758.196953,502.409904,230.508475,86.818905,0,628.703939,42.345233,12
2027,044198,Lakewood City,3979.268561,36.484479,421.056383,39.602193,5,17.715871,101.577199,46.117647,222.083119,48,712.903053,400.397727,68.676883,35.021488,0,4.712253,36.092962,12
2027,044206,Lancaster City,5753.202511,149.807137,586.501854,57.668698,9.152887,53.191011,170.038286,6.634116,21.910271,9.466292,349.024476,289.597687,125.842669,77.441198,32.076981,18.367006,28.211193,9
2027,044214,Lebanon City,4622.984502,42.275474,519.300139,39.00582,5.225433,22.565359,105.638754,24.390032,126.692176,39.035088,570.190531,334.407483,0,0,0,0,107.071904,5
2027,044222,Lima City,3128.071795,151.364682,354.154903,34.81558,0.943793,7.826289,74.246585,121.255475,52.380616,7.99491,190.899402,118.104157,54.175852,39.867995,0,13.609168,1.238828,9
2027,044230,Lockland Local,438.808018,1.954286,51.262088,3.342087,1.946535,1.059406,10.701509,23.601163,30.796609,10.172776,1,4,0,0,0,0,0,2
