irn,house_district,population,population_under_18,share
046888,073,7627,1718,1.0
046896,005,738,261,0.01684414
046896,073,55071,15234,0.98315586
046904,073,4258,769,1.0
046920,012,810,195,0.05406155
046920,071,6,1,0.00027724
046920,091,14673,3411,0.94566121
046946,005,16891,4758,0.82446716
046946,069,2359,549,0.09513083
046946,073,2182,464,0.08040201
046953,005,13580,3571,0.89543631
046953,010,1298,417,0.10456369
046961,002,2890,830,0.068324
046961,003,3030,920,0.07573263
046961,004,43877,10375,0.85405005
046961,009,168,23,0.00189332
046979,002,8510,2526,0.20583442
046979,005,40676,9746,0.79416558
046995,004,19509,5805,0.82751247
046995,009,4383,1209,0.17234498
046995,068,6,1,0.00014255
047001,002,2465,638,0.05928817
047001,005,30898,7654,0.71127219
047001,068,9822,2469,0.22943964
047019,006,34377,9291,0.37202691
047019,007,1290,228,0.00912949
047019,011,58896,14288,0.572115
047019,012,3742,1167,0.0467286
047027,007,505,60,0.00253368
047027,008,22880,4981,0.2103374
047027,011,52969,13170,0.55614205
047027,060,8131,2177,0.09193024
047027,086,9675,3293,0.13905663
047043,081,7350,1766,1.0
047050,044,1977,405,0.22082879
047050,081,5790,1429,0.77917121
047068,081,2510,564,1.0
047076,081,2067,497,1.0
047084,081,8095,1978,1.0
047092,044,2774,570,0.30190678
047092,081,6327,1318,0.69809322
047167,099,13255,3006,1.0
047175,065,257,110,0.0214676
047175,099,15367,5014,0.9785324
047183,057,31,5,0.00113662
047183,099,21520,4394,0.99886338
047191,035,18156,3981,1.0
047225,099,15882,2970,1.0
047241,036,1759,437,0.0337556
047241,070,55816,12509,0.9662444
047258,071,6628,903,1.0
047266,071,8184,1901,0.99842437
047266,091,11,3,0.00157563
047274,055,17,0,0.0
047274,070,17284,4285,1.0
047308,095,2833,553,0.23632479
047308,097,8443,1787,0.76367521
047332,027,10679,2262,0.99472296
047332,029,90,12,0.00527704
047340,026,20,3,0.00024942
047340,027,46790,12025,0.99975058
047365,025,15,2,0.00012098
047365,028,5603,1279,0.07736511
047365,029,53043,11826,0.71533995
047365,030,16825,3412,0.20638761
047365,045,86,13,0.00078635
047373,030,65148,14766,1.0
047381,029,26687,6807,0.986093
047381,045,486,96,0.013907
047399,029,6,0,0.0
047399,030,16044,3769,1.0
047415,083,2968,583,1.0
047423,083,3512,943,1.0
047431,083,4026,1043,1.0
047449,083,7136,1801,1.0
047456,075,642,191,0.18436293
047456,082,5,5,0.00482625
047456,083,3112,840,0.81081081
047464,083,7202,1485,1.0
047472,083,1379,312,0.82105263
047472,087,112,28,0.07368421
047472,088,125,40,0.10526316
047498,083,2729,595,1.0
047506,083,3469,1037,1.0
047514,083,4173,1033,0.73891273
047514,087,1433,365,0.26108727
047522,078,7,1,0.00110742
047522,083,4009,902,0.99889258
047548,079,1740,308,0.51939292
047548,095,1375,285,0.48060708
047571,081,2398,590,1.0
047589,081,5551,1341,1.0
047597,075,49,12,0.00934579
047597,081,5157,1264,0.98442368
047597,082,21,8,0.00623053
047613,090,111,31,0.02622673
047613,091,4833,1151,0.97377327
047621,091,4958,1324,1.0
047639,063,8,3,0.0019544
047639,071,398,91,0.05928339
047639,091,6006,1441,0.93876221
047688,077,132,55,0.00692521
047688,098,22256,7887,0.99307479
047696,067,83,13,0.0026771
047696,077,334,104,0.0214168
047696,098,18230,4739,0.9759061
047712,054,3672,851,0.96049661
047712,089,246,35,0.03950339
047720,054,5947,1298,0.99846154
047720,067,6,2,0.00153846
047738,054,4764,1308,0.97032641
047738,076,112,40,0.02967359
047746,054,3856,813,0.55837912
047746,089,2774,643,0.44162088
047761,093,7345,1831,1.0
047787,095,699,151,0.05916928
047787,096,12855,2401,0.94083072
047795,079,295,59,0.02234002
047795,095,86,18,0.0068156
047795,096,13384,2564,0.97084438
047803,096,18543,3462,1.0
047829,061,6420,1575,0.97462871
047829,069,166,41,0.02537129
047837,098,4020,1244,1.0
047845,069,349,95,0.03833737
047845,098,9610,2383,0.96166263
047852,061,7548,1942,0.97441044
047852,087,2,2,0.00100351
047852,098,201,49,0.02458605
047878,023,145,30,0.01808318
047878,057,7773,1621,0.97709464
047878,099,52,8,0.00482218
047886,057,18492,3854,0.99689602
047886,099,60,12,0.00310398
047894,057,37419,7625,0.99660175
047894,099,153,26,0.00339825
047902,057,8862,1979,1.0
047928,093,5898,1347,1.0
047936,093,10480,2168,1.0
047944,093,8568,2012,1.0
047951,093,11970,2537,1.0
047969,093,4185,964,1.0
047985,061,105,34,0.01344405
047985,068,1013,213,0.08422301
047985,069,9583,2282,0.90233294
047993,068,4279,848,0.3110785
047993,069,9928,1878,0.6889215
048009,002,6297,2024,0.24886266
048009,004,12117,3493,0.42948481
048009,005,190,50,0.00614779
048009,068,10544,2566,0.31550473
048017,068,81,24,0.00897196
048017,069,10580,2646,0.98915888
048017,097,15,5,0.00186916
048025,061,84,20,0.00798722
048025,068,239,50,0.01996805
048025,069,8487,1887,0.75359425
048025,098,2185,547,0.21845048
048033,061,553,145,0.07770632
048033,068,3145,587,0.31457663
048033,069,5093,1134,0.60771704
048041,068,27228,6901,0.96747512
048041,073,1151,232,0.03252488
048074,083,5592,1375,0.53564472
048074,085,5435,1157,0.45072069
048074,086,138,35,0.01363459
048082,083,10548,1932,0.89944134
048082,084,53,17,0.00791434
048082,085,949,199,0.09264432
048090,085,3697,905,1.0
048116,052,24847,7050,1.0
048124,053,24824,5801,1.0
048132,052,999,219,0.15609408
048132,053,5182,1184,0.84390592
048140,054,6667,1161,1.0
048157,052,648,111,0.05143652
