chamber,irn,district,population,population_under_18,share
house,046177,050,45,11,0.01160338
house,046177,079,4812,937,0.98839662
house,046193,085,11312,2595,1.0
house,046201,085,5304,1253,0.94210526
house,046201,086,328,77,0.05789474
house,046219,085,5974,1423,1.0
house,046235,071,12042,2488,1.0
house,046243,074,18399,4206,0.98894898
house,046243,080,205,47,0.01105102
house,046250,071,3249,666,0.14842879
house,046250,074,19727,3773,0.84087363
house,046250,085,191,48,0.01069757
house,046268,074,10853,2342,0.99744463
house,046268,085,42,6,0.00255537
house,046276,071,4293,1000,1.0
house,046284,071,11,3,0.0011646
house,046284,074,12180,2573,0.9988354
house,046300,062,1246,248,0.06533193
house,046300,063,13466,3548,0.93466807
house,046318,063,9289,2130,1.0
house,046326,062,6170,1211,0.4636294
house,046326,063,6495,1401,0.5363706
house,046334,063,4956,1138,1.0
house,046342,055,685,144,0.03552924
house,046342,062,15662,3873,0.95558845
house,046342,063,102,36,0.00888231
house,046359,062,43956,8626,0.55973006
house,046359,063,28506,6785,0.44026994
house,046367,063,6335,1316,1.0
house,046383,055,228,49,0.0244511
house,046383,063,1656,360,0.17964072
house,046383,071,6915,1595,0.79590818
house,046391,055,3131,700,0.30276817
house,046391,071,7023,1612,0.69723183
house,046409,071,6642,1531,0.85150167
house,046409,091,1178,267,0.14849833
house,046425,079,15158,2362,1.0
house,046433,079,5791,1310,1.0
house,046441,079,5234,1108,0.98928571
house,046441,096,50,12,0.01071429
house,046458,059,1770,395,0.2688904
house,046458,079,5346,1074,0.7311096
house,046474,051,181,62,0.02942572
house,046474,097,177,16,0.00759374
house,046474,098,8563,2029,0.96298054
house,046482,069,881,215,0.06215669
house,046482,098,13858,3244,0.93784331
house,046508,054,12,3,0.00277008
house,046508,076,17,10,0.00923361
house,046508,087,3388,696,0.64265928
house,046508,088,1618,374,0.34533703
house,046516,087,5475,1044,1.0
house,046524,087,6196,1381,1.0
house,046557,019,3989,769,1.0
house,046565,019,7584,1611,1.0
house,046573,015,14624,3263,0.63980392
house,046573,017,8398,1671,0.32764706
house,046573,054,681,166,0.03254902
house,046581,018,4040,861,0.25918122
house,046581,019,10560,2431,0.73178808
house,046581,022,18,10,0.00301023
house,046581,099,136,20,0.00602047
house,046599,023,10088,1604,1.0
house,046607,019,24835,6092,1.0
house,046623,084,3350,898,1.0
house,046631,080,6050,1467,1.0
house,046649,080,3352,832,0.98695136
house,046649,084,16,11,0.01304864
house,046672,084,3898,943,1.0
house,046680,080,4130,1024,0.99707887
house,046680,084,7,3,0.00292113
house,046706,082,4006,878,1.0
house,046714,081,3089,735,0.49494949
house,046714,082,2932,750,0.50505051
house,046722,081,2470,534,0.41299304
house,046722,082,3811,759,0.58700696
house,046748,060,26,11,0.00180981
house,046748,061,23019,6067,0.99819019
house,046755,060,8605,1886,0.48358974
house,046755,061,7517,1636,0.41948718
house,046755,086,24,4,0.00102564
house,046755,087,1569,374,0.09589744
house,046763,008,65,14,0.00045998
house,046763,060,88486,25447,0.83608227
house,046763,061,14452,4975,0.16345775
house,046789,054,2053,519,0.26225366
house,046789,089,7196,1460,0.73774634
house,046797,089,256,16,1.0
house,046805,088,1511,332,0.22281879
house,046805,089,6069,1158,0.77718121
house,046813,089,13878,2684,1.0
house,046821,053,23,13,0.00512013
house,046821,054,4823,853,0.33595904
house,046821,089,9626,1673,0.65892083
house,046847,069,8606,2168,0.99953896
house,046847,073,2,1,0.00046104
house,046854,069,4906,1108,0.96013865
house,046854,073,120,35,0.03032929
house,046854,092,77,11,0.00953206
house,046862,069,7805,2088,0.67770204
house,046862,073,4470,993,0.32229796
house,046870,069,6723,1695,0.63962264
house,046870,073,3819,955,0.36037736
house,046888,073,7627,1718,1.0
house,046896,005,738,261,0.01684414
house,046896,073,55071,15234,0.98315586
house,046904,073,4258,769,1.0
house,046920,012,810,195,0.05406155
house,046920,071,6,1,0.00027724
house,046920,091,14673,3411,0.94566121
