irn,district,enrolled_adm,base_cost_enrolled_adm,aggregate_base_cost,base_cost_per_pupil,capacity_per_pupil,state_share_percentage,valuation_per_pupil,local_capacity_percentage,benchmark_ratio,dpia_econ_disadvantaged_adm,dpia_directly_certified_adm,dpia_weighted_adm,dpia_percentage,dpia_aid,trans_reported_sped_cost,trans_special_education,trans_total,funding_base,foundation_calculated,foundation_phase_in,foundation_funding,temp_transitional_aid_guarantee,transportation,formula_transition_supplement,base_funding_supplement,enrollment_growth_supplement,total_formula_funding,performance_supplement,preschool_special_education,special_education_transportation,total_state_support
047050,Evergreen Local,1060.3467,1078.45,9063447.45,8404.14,6903.14,0.1786024,328892.83,0.023251457406,1.46670942,329.3528,249.324,309.3456,0.29174,34684.11,154533.75,70822.817624999996,1022828.443251908408,4290074.41,2075838.49,-1845122.79,2444951.62,1845122.79,1022828.44,0,28629.36,0,5341532.22,62030.28,112416.61,70822.82,5586801.92
047068,Fayette Local,292.0626,305.92,3916402.55,12802.05,4548.22,0.6447265,246929.24,0.02029486365,1.46670942,153.8618,119.5724,145.2894,0.49746,47363.62,62870.85,40534.503072525004,216077.829078571434,3070798.99,3484947.29,345109.77,3415908.76,0,216077.83,0,7885.69,0,3639872.28,0,57098.09,40534.5,3737504.88
047076,Pettisville Local,468.4446,480.79,5024774.78,10451.08,3768.02,0.6394612,185644.36,0.022840152016,1.46670942,109.4816,81,102.3612,0.218513,6438.5,136671.15,87395.897584379985,198714.959999999992,3430691.56,4442444.41,843093.65,4273785.21,0,198714.96,0,12648,0,4485148.17,24359.12,36511.6,87395.9,4633414.78
047084,Pike-Delta-York Local,1068.8076,1102.86,9180275.35,8324.06,4610.92,0.4460731,218340.42,0.021670942275,1.46670942,448.5075,371.1522,429.1687,0.40154,91154.94,175887.6,80609.287079999995,549385.156689189142,5958972.65,6938658.48,816372.2,6775344.85,0,549385.16,0,28857.8,0,7353587.81,55577.99,192325.73,80609.29,7682100.83
047092,Swanton Local,1087.5796,1110.26,9224586.99,8308.49,5945.12,0.2844523,268647.71,0.022771184691,1.46670942,480.938,370.1861,453.25,0.416751,103701.65,217902.3,99864.624089999998,529804.055269767414,4655062.2,4180958.51,-395070.61,4259991.59,395070.61,529804.06,0,29364.65,0,5214230.91,0,144533.04,99864.62,5458628.57
047167,Berkshire Local,1274.6774,1298.42,10615621.62,8175.8,8020.07,0.1,362353.51,0.023136164897,1.46670942,434.0411,336.9009,409.7561,0.321459,55779.05,599373.6,274692.920879999991,987450.542311864439,4134492.95,1213809.62,-2433805.42,1700687.53,2433805.42,987450.54,114667.59,34416.29,0,5271027.37,66283.23,73048.36,274692.92,5685051.87
047175,Cardinal Local,684.1459,724.47,6596179.9,9104.84,11823.21,0.1,588940.44,0.021609724725,1.46670942,316.5136,260.3625,302.4758,0.442122,77887.81,435517.95,199597.876484999986,765589.320881012711,1617826.22,808268.11,-674604.78,943221.44,674604.78,765589.32,28584.6,18471.94,0,2430472.09,0,70375.11,199597.88,2700445.07
047183,Chardon Local,2307.1801,2424.08,19564483.33,8070.89,8974.39,0.1000001,369829.11,0.02384421194,1.46670942,519.9922,433.3158,498.3231,0.215988,30624.2,636631.8,291768.353940000001,1517494.017296000151,4122699.05,2132650.24,-1658307.67,2464391.38,1658307.67,1517494.02,0,62293.86,0,5702486.93,134970.03,195499.62,291768.35,6324724.93
047191,Kenston Local,2354.222,2394.44,19297335.52,8059.23,12399.37,0.1,465303.72,0.025,1.46670942,301.2723,225.2136,282.2576,0.119894,5344.85,903250.95,413959.910384999996,1138360.355999999912,2753729.21,2142660.62,-509203.45,2244525.76,509203.45,1138360.36,0,63563.99,0,3955653.56,137721.99,164011.81,413959.91,4671347.27
047225,West Geauga Local,1952.0891,2030.14,16426690.7,8091.41,14263.3,0.1,566044.44,0.024715386235,1.46670942,343.6405,275.2266,326.537,0.167276,12036.34,774083.1,354762.284729999956,1606337.832810526248,3490590.29,1836124.55,-1378666.3,2111923.99,1378666.3,1606337.83,0,52706.41,0,5149634.53,126885.79,89288.08,354762.28,5720570.68
