irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
050559,Green Local,Wayne,2025,6088459,400303,5400735,980818,743074,15437285,15445073,17169965,6507314,4782422
050567,Norwayne Local,Wayne,2020,6724493,67239,3442300,1350248,504948,13343743,13482467,14492631,7841741,6831577
050567,Norwayne Local,Wayne,2021,6845843,70163,3596875,1335119,524907,13627371,13680127,14391129,6831577,6120575
050567,Norwayne Local,Wayne,2022,7020441,339826,3880302,1522730,543809,14073532,14094230,13675496,6120575,6539309
050567,Norwayne Local,Wayne,2023,7101558,384916,3790657,1682864,546979,14336674,14348886,14069413,6539309,6818782
050567,Norwayne Local,Wayne,2024,8071926,412868,4474192,1703183,618296,16321958,17082725,15816224,6818782,8085283
050567,Norwayne Local,Wayne,2025,8021269,472443,4957351,1788839,688951,17020602,17080861,19094816,8085283,6071328
050575,Northwestern Local,Wayne,2020,7170215,215403,3156689,2373749,434594,15774658,15774658,14884519,1377319,2267458
050575,Northwestern Local,Wayne,2021,7125626,390400,3308834,2402893,447226,16389395,16389395,13958331,2267458,4698522
050575,Northwestern Local,Wayne,2022,7407204,502852,3864145,2526492,459117,15874533,15938345,13542924,4698522,7093943
050575,Northwestern Local,Wayne,2023,8001207,553816,3709694,2814794,459380,16757043,16757043,14165620,7093943,9685366
050575,Northwestern Local,Wayne,2024,8449307,722928,4066247,2851339,523600,18248843,18371244,15573348,9685366,12483262
050575,Northwestern Local,Wayne,2025,8453671,663516,4668234,2998283,583788,19130432,19161567,25555310,12483262,6089519
050583,Southeast Local,Wayne,2020,4923414,123380,12459146,0,1061613,20401796,20401796,17006492,12331827,15727131
050583,Southeast Local,Wayne,2021,5160886,18964,13126846,0,1081808,21114184,21114184,16990568,15727131,19850747
050583,Southeast Local,Wayne,2022,5839717,319203,12434439,0,1120735,20148177,20148177,29804511,19850747,10194413
050583,Waynedale Local,Wayne,2023,5903240,270660,12698099,0,1140421,20982995,20982995,22226194,10194413,8951214
050583,Waynedale Local,Wayne,2024,5933077,329312,14029537,0,1284768,22878626,22878626,22098118,8951214,9731722
050583,Waynedale Local,Wayne,2025,5995330,228843,15404260,0,1422430,23919906,23919906,29650230,9731722,4001398
050591,Triway Local,Wayne,2020,6654098,135167,10147997,2055879,825447,21027154,23281200,21772844,251989,1760345
050591,Triway Local,Wayne,2021,6838374,135167,10884380,1745432,853872,21828661,21968344,19861640,1760345,3867049
