leaid,irn,state,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending
5305430,,WA,1,15006,314629000,35956000,201904000,76769000,71883000,292124000
5305460,,WA,1,1221,23762000,3036000,14419000,6307000,4417000,20005000
5305490,,WA,1,767,12264000,1967000,9103000,1194000,805000,11214000
5305520,,WA,1,350,7750000,1691000,5342000,717000,465000,7097000
5305610,,WA,1,1010,18645000,4187000,11961000,2497000,2145000,17748000
5305640,,WA,1,1416,24860000,5618000,15338000,3904000,3508000,21630000
5305670,,WA,1,1878,44123000,4564000,28514000,11045000,6196000,31764000
5305700,,WA,1,757,15925000,2555000,9646000,3724000,3002000,13901000
5305730,,WA,1,2071,36689000,6631000,26444000,3614000,3262000,33249000
5305760,,WA,1,5458,105426000,12889000,67279000,25258000,23466000,97274000
5305790,,WA,1,2302,39702000,6218000,28124000,5360000,4622000,36588000
5305820,,WA,1,93,2428000,165000,2240000,23000,0,2280000
5305850,,WA,1,15028,283690000,23448000,173965000,86277000,79156000,238249000
5305880,,WA,1,255,5783000,889000,4357000,537000,420000,5037000
5305910,,WA,1,22974,467824000,25848000,276418000,165558000,137297000,391483000
5305940,,WA,1,5707,110052000,20432000,69806000,19814000,18791000,102305000
5305970,,WA,1,154,4087000,85000,3027000,975000,752000,3505000
5306000,,WA,1,335,14404000,2004000,11333000,1067000,728000,5643000
5306060,,WA,1,1056,22895000,3187000,12709000,6999000,5952000,16604000
5306090,,WA,1,606,14879000,2171000,7451000,5257000,3173000,10841000
5306120,,WA,1,238,5092000,479000,3628000,985000,672000,4939000
5306150,,WA,1,1042,20608000,4442000,13838000,2328000,1934000,18105000
5306180,,WA,1,9508,196391000,17768000,118872000,59751000,53637000,157084000
5306220,,WA,1,6690,97900000,15101000,80476000,2323000,1921000,83590000
5306240,,WA,1,846,12839000,2079000,9314000,1446000,995000,12089000
5306300,,WA,1,742,15073000,1540000,8507000,5026000,4002000,12373000
5306420,,WA,1,531,11131000,3236000,6418000,1477000,1234000,9993000
5306450,,WA,1,2658,42611000,4280000,30498000,7833000,6211000,41439000
5306480,,WA,1,4707,77057000,11959000,58968000,6130000,4973000,71214000
5306540,,WA,1,171,3782000,439000,2602000,741000,661000,3353000
5306570,,WA,1,18538,323245000,55793000,228696000,38756000,32481000,296687000
5306600,,WA,1,271,6501000,897000,4711000,893000,734000,5934000
5306660,,WA,1,274,6274000,599000,4943000,732000,380000,5150000
5306690,,WA,1,8769,181146000,14867000,123154000,43125000,37829000,149297000
5306780,,WA,1,364,7352000,648000,5075000,1629000,1395000,5986000
5306820,,WA,1,3506,71946000,13632000,40670000,17644000,15676000,59527000
5306840,,WA,1,1169,26442000,4334000,14361000,7747000,7054000,20997000
5306870,,WA,1,241,5864000,719000,3938000,1207000,993000,6193000
5306900,,WA,1,2493,64784000,6322000,49691000,8771000,7199000,40860000
5306930,,WA,1,2654,49294000,5646000,30748000,12900000,12390000,40068000
5306960,,WA,1,22534,412155000,40937000,266643000,104575000,92417000,352488000
5306990,,WA,1,444,10579000,684000,8251000,1644000,1384000,9670000
5307020,,WA,1,2696,48759000,3285000,43211000,2263000,1626000,44082000
5307050,,WA,1,172,6332000,745000,4870000,717000,206000,3499000
5307080,,WA,1,3126,62505000,8824000,38076000,15605000,15087000,53011000
5307110,,WA,1,918,14467000,1808000,10071000,2588000,2220000,13340000
5307140,,WA,1,520,10265000,1849000,7469000,947000,582000,9976000
5307210,,WA,1,684,12048000,1195000,8586000,2267000,1895000,10656000
5307230,,WA,1,15310,343315000,33665000,193951000,115699000,105248000,270060000
5307260,,WA,1,355,6938000,940000,5356000,642000,494000,6382000
5307320,,WA,1,13831,240267000,24716000,157926000,57625000,49455000,204612000
5307350,,WA,1,3846,70030000,4432000,40745000,24853000,14867000,47835000
5307380,,WA,1,362,7494000,498000,4345000,2651000,1900000,5960000
5307440,,WA,1,1537,23441000,2671000,17271000,3499000,2963000,21747000
5307470,,WA,1,2091,34235000,4344000,25566000,4325000,3751000,36071000
5307560,,WA,1,180,4462000,670000,3175000,617000,431000,4164000
