irn,district,distribution,counties,amount
044271,LOVELAND CITY SCHOOL DISTRICT,2015-08,3,117874.61
044289,MADEIRA CITY SCHOOLS,2015-08,1,36251.93
044297,MANSFIELD BOARD OF EDUCATION,2015-08,1,87578.28
044305,MAPLE HEIGHTS BOARD OF,2015-08,1,88815.03
044313,MARIEMONT CITY SCHOOL DISTRICT,2015-08,2,43696.25
044321,MARIETTA CITY SCHOOL DISTRICT,2015-08,1,71674.41
044339,MARION CITY SCHOOLS,2015-08,1,105055.1
044347,MARTINS FERRY CITY SCHOOL,2015-08,2,36214.14
044354,MASSILLON CITY SCHOOL DISTRICT,2015-08,1,99615.66
044362,MAUMEE CITY SCHOOL DISTRICT,2015-08,2,63284.21
044370,MAYFIELD CITY SCHOOL DISTRICT,2015-08,3,98326.15
044388,MEDINA CITY SCHOOLS,2015-08,1,176512.67
044396,MIAMISBURG CITY SCHOOLS,2015-08,1,136579.41
044404,MIDDLETOWN CITY SCH DIST.,2015-08,2,157147.83
044412,MOUNT HEALTHY CITY SCH DIST.,2015-08,1,84461.69
044420,MOUNT VERNON CITY SCHOOL,2015-08,2,100250.91
044438,NAPOLEON CITY SCHOOL DISTRICT,2015-08,3,51279.81
044446,NELSONVILLE YORK CITY SCHOOL,2015-08,3,31684.42
044453,NEWARK CITY SCHOOL DISTRICT,2015-08,1,156362.77
044461,NEW BOSTON BOARD OF EDUCATION,2015-08,1,11939.32
044479,NEW LEXINGTON CITY SCHOOLS,2015-08,3,44848.24
044487,NEW PHILADELPHIA CITY SCHOOLS,2015-08,1,77031.58
044495,NILES CITY SCHOOLS,2015-08,1,62754.01
044503,NORTH CANTON CITY SCHOOLS,2015-08,2,111374.65
044511,NORTH COLLEGE HILL CITY SCH,2015-08,1,42029.03
044529,NORTH OLMSTED CITY SCHOOL,2015-08,2,96079.64
044537,NORTH RIDGEVILLE CITY SCH DIST,2015-08,2,103442.24
044545,NORTH ROYALTON CITY SCHOOL,2015-08,1,112349.37
044552,NORTON CITY SCHOOLS,2015-08,3,61470.49
044560,NORWALK BOARD OF EDUCATION,2015-08,2,73930.73
044578,NORWOOD CITY SCHOOL DISTRICT,2015-08,1,49420.69
044586,OAKWOOD CITY SCHOOLS,2015-08,1,53309.13
044594,OBERLIN CITY SCHOOL DISTRICT,2015-08,1,25627.24
044602,OREGON CITY SCHOOLS,2015-08,3,94069.96
