irn,district,county,tax_year,agricultural_value,residential_value,class1_value,mineral_value,industrial_value,commercial_value,railroad_value,class2_value,real_property_value,public_utility_value,total_value,class1_taxes_charged,class2_taxes_charged,real_property_taxes_charged,real_property_taxes_charged_with_jvsd,public_utility_taxes_charged,class1_rate,class2_rate,real_property_millage,public_utility_millage,value_per_pupil,adm
043703,Campbell City SD,Mahoning,2021,53590,56640640,56694230,0,984670,6545090,247100,7776860,64471090,10077200,74548290,1970249,281920,2252169,2381570,373864,34.7522,36.2511,34.933,37.1,,
043703,CAMPBELL CSD,Mahoning,2022,53590,56721460,56775050,0,984670,6489260,248230,7722160,64497210,10434880,74932090,1967630,281180,2248810,2378127,386090,34.6566,36.4121,34.8668,36.9999,54905.6286,1364.7433
043703,CAMPBELL CSD,Mahoning,2023,54360,85172160,85226520,0,1681840,8199660,265540,10147040,95373560,10951860,106325420,2497989,297409,2795398,2986145,361520,29.31,29.31,29.31,33.01,80850.043,1315.0942
043703,CAMPBELL CSD,Mahoning,2024,54360,85107500,85161860,0,1681840,8909030,284020,10874890,96036750,11492250,107529000,2488923,324394,2813317,3005577,378209,29.2258,29.8296,29.2942,32.9099,84507.6031,1272.4181
043711,Canton City SD,Stark,2021,0,432982810,432982810,35720,44268310,177662040,2785310,224751380,657734190,69566030,727300220,18263734,10919186,29182920,29182920,5280061,42.1812,48.5834,44.3689,75.9,,
043711,CANTON CSD,Stark,2022,0,434027420,434027420,37410,45619250,163018940,2916730,211592330,645619750,96517860,742137610,18255714,10895396,29151110,29151110,7325705,42.0612,51.4924,45.1521,75.9,74701.5364,9934.7034
043711,CANTON CSD,Stark,2023,0,435113370,435113370,28320,45465620,161259580,3158970,209912490,645025860,101722620,746748480,18266015,10892862,29158877,29158877,7720746,41.98,51.89,45.21,75.9,73609.4254,10144.74
043711,CANTON CSD,Stark,2024,0,660958170,660958170,31690,73929840,223583450,3024000,300568980,961527150,109084410,1070611560,19262502,10968543,30231045,30231045,8279506,29.1433,36.4926,31.4407,75.9,107576.9481,9952.0537
043729,Celina City SD,Mercer,2021,62431880,345234560,407666440,0,14363010,40146850,91230,54601090,462267530,14510080,476777610,12352293,1689870,14042163,14042163,494068,30.3,30.9494,30.3767,34.05,,
043729,CELINA CSD,Mercer,2022,62235970,350701740,412937710,0,14349560,41641530,90830,56081920,469019630,14589650,483609280,12470718,1714755,14185473,14185473,495318,30.2,30.5759,30.2449,33.95,178235.1811,2713.3211
043729,CELINA CSD,Mercer,2023,109963070,474785500,584748570,0,18483410,46183690,88180,64755280,649503850,15279850,664783700,16022110,1774314,17796424,17796424,475967,27.4,27.4,27.4,31.15,251839.735,2639.7093
043729,CELINA CSD,Mercer,2024,110213520,476630950,586844470,0,18719630,48104920,90660,66915210,653759680,16049510,669809190,16054714,1830130,17884844,17884844,499139,27.3577,27.35,27.3569,31.1,254857.3637,2628.1728
043737,Centerville City SD,Montgomery,2021,5324830,1759513100,1764837930,0,5893680,334576100,0,340469780,2105307710,46895810,2152203520,74613288,16694084,91307372,91307372,3683665,42.2777,49.0325,43.3701,78.55,,
043737,CENTERVILLE CSD,Montgomery,2022,5353270,1784359160,1789712430,0,5893680,341273180,0,347166860,2136879290,50204390,2187083680,75382150,16883245,92265395,92265395,3939538,42.1197,48.6315,43.1776,78.47,275655.4261,7934.1216
043737,CENTERVILLE CSD,Montgomery,2023,6166690,2387719870,2393886560,0,5893680,414660170,0,420553850,2814440410,56425970,2870866380,79702298,17216969,96919267,96919267,4366805,33.29,40.94,34.44,77.39,354933.9425,8088.4526
043737,CENTERVILLE CSD,Montgomery,2024,6786380,2402559250,2409345630,0,5704840,410441740,0,416146580,2825492210,63645400,2889137610,89680663,18842742,108523405,108523405,5172461,37.222,45.2791,38.4087,81.27,362886.8847,7961.5377
043745,Chillicothe City SD,Ross,2021,5649710,283225820,288875530,0,5165420,121430630,212160,126808210,415683740,44484770,460168510,6648268,3616341,10264609,11294202,1943984,23.0143,28.5182,24.6933,43.7,,
043745,CHILLICOTHE CSD,Ross,2022,6364850,352481820,358846670,0,5170280,121833280,230570,127234130,486080800,47132280,533213080,7176933,3632776,10809709,11915288,2059680,20,28.5519,22.2385,43.7,161995.7994,3291.5241
043745,CHILLICOTHE CSD,Ross,2023,6346430,351589150,357935580,0,4391920,124908620,256230,129556770,487492350,48346880,535839230,7166872,3688882,10855754,11955023,2112758,20.02,28.47,22.27,43.7,164086.4438,3265.5911
043745,CHILLICOTHE CSD,Ross,2024,6373620,352139080,358512700,0,4507020,124955080,266270,129728370,488241070,53852840,542093910,7184773,3686361,10871134,11972455,2353369,20.0405,28.416,22.2659,43.7,167894.1594,3228.7836
043752,Cincinnati City SD,Hamilton,2021,1605640,4592361270,4593966910,0,274761470,2073764680,11825100,2360351250,6954318160,625895350,7580213510,195390600,122928037,318318637,318318637,42779947,42.532,52.0804,45.7728,68.35,,
043752,CINCINNATI CSD,Hamilton,2022,1605940,4573171970,4574777910,0,264112230,1993772330,11900990,2269785550,6844563460,634340040,7478903500,194571251,118796944,313368195,313368195,43357141,42.5313,52.3384,45.7835,68.35,160423.5155,46619.7457
043752,CINCINNATI CSD,Hamilton,2023,2841710,6047893850,6050735560,0,299870210,2246178260,12401550,2558450020,8609185580,713334670,9322520250,234163466,117422877,351586343,351586343,46045752,38.7,45.9,40.84,64.55,199386.3602,46756.0581
043752,CINCINNATI CSD,Hamilton,2024,2543010,6063056130,6065599140,0,298399370,2365254490,12333740,2675987600,8741586740,765324740,9506911480,230452127,121509639,351961766,351961766,48820065,37.9933,45.4074,40.2629,63.79,207562.9502,45802.5456
043760,Circleville City SD,Pickaway,2021,15088650,220565350,235654000,60290,4307670,70310830,124220,74803010,310457010,39280130,349737140,6204864,2812181,9017045,9768422,1940045,26.3304,37.5945,29.0444,49.39,,
043760,CIRCLEVILLE CSD,Pickaway,2022,15486500,221534220,237020720,70270,4471580,69250420,135300,73927570,310948290,39784400,350732690,6228643,2767219,8995862,9695287,1964951,26.2789,37.4315,28.9304,49.39,163478.4847,2145.4364
043760,CIRCLEVILLE CSD,Pickaway,2023,25830510,295147740,320978250,130960,4801530,74820370,150570,79903430,400881680,39784400,440666080,6512841,2757011,9269852,10148259,1964951,20.29,34.5,23.12,49.39,208701.3749,2111.4671
