fiscal_year,sponsor_irn,sponsor_name,county,sponsor_type,stream,sites,enrollment,enrollment_basis,free_lunch,reduced_lunch,identified,claimable
2009,054866,St Boniface,Hamilton,Non-Public,single,1,182,adm,142,18,0,160
2009,054890,St Catharine Of Siena,Hamilton,Non-Public,single,1,184,adm,19,7,0,26
2009,054908,St Cecilia,Hamilton,Non-Public,single,1,185,adm,70,22,0,92
2009,054932,St Christopher,Montgomery,Non-Public,single,1,388,adm,6,3,0,9
2009,054957,St Clement,Hamilton,Non-Public,single,1,188,adm,66,29,0,95
2009,054999,St Francis Desales,Hamilton,Non-Public,single,1,206,adm,145,24,0,169
2009,055012,St Francis Seraph,Hamilton,Non-Public,single,1,155,adm,139,11,0,150
2009,055020,St Gabriel,Hamilton,Non-Public,single,1,388,adm,9,9,0,18
2009,055038,Corryville Catholic,Hamilton,Non-Public,single,1,167,adm,109,22,0,131
2009,055046,St Gertrude,Hamilton,Non-Public,single,1,475,adm,10,13,0,23
2009,055087,St Ignatius Loyola,Hamilton,Non-Public,single,1,992,adm,7,6,0,13
2009,055095,St James,Hamilton,Non-Public,single,1,183,adm,11,7,0,18
2009,055103,St James,Hamilton,Non-Public,single,1,801,adm,13,12,0,25
2009,055129,John XXIII,Butler,Non-Public,single,1,450,adm,30,8,0,38
2009,055137,St John The Baptist,Hamilton,Non-Public,single,1,461,adm,7,4,0,11
2009,055145,St John The Baptist,Hamilton,Non-Public,single,1,296,adm,16,2,0,18
2009,055160,St Joseph,Hamilton,Non-Public,single,1,155,adm,124,13,0,137
2009,055178,St Joseph,Butler,Non-Public,single,1,204,adm,17,7,0,24
2009,055194,St Joseph,Auglaize,Non-Public,single,1,77,adm,27,5,0,32
2009,055228,St Lawrence,Hamilton,Non-Public,single,1,263,adm,150,47,0,197
2009,055277,Prince of Peace,Hamilton,Non-Public,single,1,141,adm,79,23,0,102
2009,055293,St Martin Of Tours,Hamilton,Non-Public,single,1,225,adm,46,23,0,69
2009,055319,St Mary,Hamilton,Non-Public,single,1,510,adm,18,2,0,20
2009,055335,St Mary,Darke,Non-Public,single,1,94,adm,14,3,0,17
2009,055368,Piqua Catholic Elementary,Miami,Non-Public,single,2,223,adm,16,12,0,28
2009,055418,St Michael,Hamilton,Non-Public,single,1,400,adm,4,6,0,10
2009,055434,St Patrick,Miami,Non-Public,single,1,143,adm,6,2,0,8
2009,055442,St Peter,Montgomery,Non-Public,single,1,589,adm,72,31,0,103
2009,055475,St Peter In Chains,Butler,Non-Public,single,1,258,adm,7,1,0,8
2009,055517,St Rita,Montgomery,Non-Public,single,1,192,adm,66,27,0,93
2009,055590,St Thomas More,Clermont,Non-Public,single,1,297,adm,8,4,0,12
2009,055640,St Vivian,Hamilton,Non-Public,single,1,367,adm,31,17,0,48
2009,055814,Our Lady Of Angels,Cuyahoga,Non-Public,single,1,430,adm,57,23,0,80
2009,055822,Our Lady Of Good Counsel,Cuyahoga,Non-Public,single,1,192,adm,106,33,0,139
2009,055855,Our Lady Of Mt Carmel West,Cuyahoga,Non-Public,single,1,255,adm,146,24,0,170
2009,055913,St Adalbert,Cuyahoga,Non-Public,single,1,184,adm,102,26,0,128
2009,056382,Holy Spirit Academy,Cuyahoga,Non-Public,single,1,150,adm,29,14,0,43
2009,056390,St Adalbert,Cuyahoga,Non-Public,single,1,117,adm,17,7,0,24
2009,056549,St Angela Merici,Cuyahoga,Non-Public,single,1,475,adm,18,9,0,27
2009,056804,St Christopher,Cuyahoga,Non-Public,single,1,495,adm,10,0,0,10
2009,056838,St Gregory The Great,Cuyahoga,Non-Public,single,1,422,adm,35,13,0,48
2009,056853,Sts Joseph & John Interparochi,Cuyahoga,Non-Public,single,1,662,adm,5,6,0,11
2009,056887,St Bernadette,Cuyahoga,Non-Public,single,1,324,adm,5,3,0,8
2009,057018,St Francis De Sales,Summit,Non-Public,single,1,317,adm,19,7,0,26
2009,057109,St Vincent De Paul,Summit,Non-Public,single,1,226,adm,8,8,0,16
2009,057117,St Joseph,Lorain,Non-Public,single,1,200,adm,23,19,0,42
