irn,district,enrolled_adm_fy24,headcount_kindergarten,headcount_grades_1_3,headcount_grades_4_8,headcount_grades_9_12
050583,Southeast Local (050583) - Wayne County,1157.2966,95,278,478,321
046276,Southeastern Local (046276) - Clark County,671.9598,48,160,281,179
049528,Southeastern Local (049528) - Ross County,899.3065,59,233,364,251
046441,Southern Local (046441) - Columbiana County,756.8999,61,182,256,288
048538,Southern Local (048538) - Meigs County,649.5143,60,143,247,206
049064,Southern Local (049064) - Perry County,563.1533,60,129,240,128
050237,Southington Local (050237) - Trumbull County,401.2830,39,85,161,111
048041,Southwest Licking Local (048041) - Licking County,4659.7930,342,1105,1854,1428
047381,Southwest Local (047381) - Hamilton County,4149.9901,326,1105,1766,1184
045807,Spencerville Local (045807) - Allen County,964.4358,82,203,376,301
050427,Springboro Community City (050427) - Warren County,5677.4886,348,1315,2377,1929
044818,Springfield City School District (044818) - Clark County,6835.1734,643,1634,2731,1804
048223,Springfield Local (048223) - Lucas County,3126.9482,235,724,1271,920
048371,Springfield Local (048371) - Mahoning County,889.9191,73,221,352,248
050062,Springfield Local (050062) - Summit County,1662.6507,130,360,643,571
044719,St Bernard-Elmwood Place City (044719) - Hamilton County,717.6341,54,151,281,221
045997,St Clairsville-Richland City (045997) - Belmont County,1570.1552,114,356,652,505
048587,St Henry Consolidated Local (048587) - Mercer County,964.9945,96,220,362,283
044727,St Marys City (044727) - Auglaize County,1926.4663,156,417,724,617
044826,Steubenville City (044826) - Jefferson County,2518.8839,251,611,1004,716
044834,Stow-Munroe Falls City School District (044834) - Summit County,4982.0621,352,1057,1927,1711
050294,Strasburg-Franklin Local (050294) - Tuscarawas County,522.3954,37,125,212,145
049239,Streetsboro City (049239) - Portage County,1874.1115,114,414,751,572
044842,Strongsville City (044842) - Cuyahoga County,5201.2600,348,1167,2169,1809
044859,Struthers City (044859) - Mahoning County,1609.4456,116,390,629,467
050658,Stryker Local (050658) - Williams County,354.5382,25,87,138,103
047092,Swanton Local (047092) - Fulton County,1129.0029,88,269,457,314
048652,Switzerland of Ohio Local (048652) - Monroe County,1915.4985,113,404,767,627
044867,Sycamore Community City (044867) - Hamilton County,5570.2306,425,1422,2301,1639
044875,Sylvania Schools (044875) - Lucas County,7625.1091,528,1699,2920,2465
047969,Symmes Valley Local (047969) - Lawrence County,685.3108,49,183,284,166
046151,Talawanda City (046151) - Butler County,2738.8681,205,632,1092,845
044883,Tallmadge City (044883) - Summit County,2451.2381,150,529,986,785
049098,Teays Valley Local (049098) - Pickaway County,4327.5876,298,994,1759,1280
046243,Tecumseh Local (046243) - Clark County,2586.1268,202,653,1036,708
047399,Three Rivers Local (047399) - Hamilton County,1833.3284,128,394,764,578
